"Roar , v , n",Verb: 1. to make a very loud deep sound. → We heard a loin roar. ,
trunk,"Noun, 3. the long nose of an elephant",
fur,"Noun, 1. the soft think mass of hair that grows on the body of some animals. → The cat carefully licked its fur.
→ The rabbit  has soft fur.",
mass,"A large amount of a substance that  does not a definite shape or form.
→ A mass off snow and rock falling down th e mountain. ",
definite,"AW, adj, : Sure or certain .
→ Can you give me a definite answer by tomorrow ?",
lid,"Noun, 1. A cover over a container the can be removed or opened by turning it or lifting .
→ A dustbin lid
→ I cannot get the lid off this jar.",
"walk ,v , n","Verb, : To move or go somewhere by your feet … but with out running.
→ The baby is just learning to walk.",
"stare ,v ,n","Verb; To look at somebody / something for a long time.
→ The kids stare at the clock. ",
continue,"Verb; 2.To keep existing or happening without stopping.
→ The kids continue to wait.",
chore,"1. A task that  you do regularly. 
→ Doing the household / domestic chores.
→ His mom gives him a list of chores.",
frown,": To make a serious, angry or worried expression by bringing your eye brows closer together so that lines appear on your forehead.
→ What are you frowning at me for ?
→ He frowns. ",
sway,"Noun: To movement form side to side.
Verb: To move slowly form side to side, or to move something in this way.
→ The branches were swaying in the wind.",
sticker,"Noun; A sticky label with a picture or message on it, that you stick onto something.
→ A sticker album. ",
onto,"(also on to ) used with a verb to express movement on or to a particular place or position.
→ Move the book onto the second shelf.",
cereal,"Noun; 1. One of various types of grass that produce grain that can be eaten or are used to make flour or break.
→ wheat , barley, and rye are all cereal.",
bland,"Adjective; er + est.
1. with little color, excitement or interest, without anything to attract attention.
→ Bland background music.
2. Nothing a strong or interesting taste. 
→ The cereal in too bland.",
cracker,"Noun; 1. A thin dry biscuit that is often salty and usually eaten with cheese.
→ Cream cracker. 
→ Dad gives her crackers. ",
"wag v, n","Verb; If a dog its tail wags, or its tail wags, its tail move from side to side several time.
→ Kate sees a dog. Dog wags its tail.",
"collar v, n","Noun; The part around the neck of a shirt, jacket or coat. They usually fold down.
→ A coat with fur collar.
→ The dog has no collar.",
assign,"AW, 1. To give somebody that they can use or some work or responsibility.
→ Ms. Howard assign a project.",
cooperative,"AW, Adjective, Involving doing something together or working together with others towards a shared aim.
→ Bill is cooperative. ",
joyful,"Adjective; very happy, causing people to be happy.
→ She gave a joyful laugh.",
yarn,"noun; thread that has spun used for knitting, making clothes, etc.
: Spun, past part of spin",
spin,"to turn around and around quickly; to make something to do this.
→ My head is spinning. ( = I feel as if my head is going around and I can not balance. )",
tummy ,"( ~= stomach )  used especially by children or when speaking to children.
→ Mon, my tummy hurts. ",
stand ,"Noun; { for showing , holding something } A table or vertical structure that goods are sold form, especially in the street or at the market.
→ A hamburger / newspaper stand. ",
stripe,"a long narrow line of color, that is a different color form the area next to it.
→ Another one has rainbow stripe. ",
enter,"verb; to come or go into.
→ Knock before you enter.",
inter,"verb; (formal ) to bury a dead person.
→ The princess was interred on an island in the middle of a lack.
: antonym : disinter .",
pirate,"A person on a ship who attack other ships at sea in order to steal form them.
→ A pirate ship.",
in order to,"with the purpose or intention of doing or achieving something.
→ She arrived early in order to get a good seat.
→ In order to get a complete picture, we will need further information. ",
further,"adv; adj; verb; 
Adverb: To a greater degree or extant.
Adjective: More , additional. 
Verb: To help something to develop or be successful. ",
crawl,"verb,noun.
Verb; To move forward on your hands and knees with your body close to the ground.
→ Our baby is just starting to crawl.",
costume,The clothes worn by people form a particular place or during a particular historical period. ( see national costume ),
messy,1. Dirty and / or untidy. Synonym : chaotic. ,
untidy,"Not neat or well arranged in a state or confusing. 
→ An untidy desk.",
bunny,A child word for a rabbit.,
pile,"A umber of thing that have been placed to top of each other.
→ A pile of books / clothes / bricks ",
later,"adj; adv; at a time in the future after the time you are talking about.
→ See you later.
→ Later! ( a way of saying good-bye. )",
peekaboo,A simple game played to amuse young children.,
amuse,"To make somebody laugh or smile. 
→ My funny drawings amused the kids.",
couch,"verb; noun; A long comfortable seat for two or more people sit on.
Synonym: sofa, settee. ",
tear,"There are two meaning of it.
Tear 1: A hole that has been make is something by tearing.
 Tear, verb : To damage. Synonym : rip.
 → This sheet has tear in it.
Tear 2: A drop of liquid  that comes out of your eye when you cry.
→ A tear rolled down his face. ",
realize,"{ be / become aware } To understand or become aware of a particular fact or situation. 
→ She realizes that sometimes you win and sometimes you lose.",
"hug ,noun","An act of putting your  arm around someone and holding them tightly, especially to show that you like or love them. 
→ Her mom gives her a hug.",
"stack ,verb","To arrange object neatly in a pile.
→ To stack boxes.",
stack up,"To keep increasing in quantity until that is a large pile, a long line, etc.
→ She stack them up. ( in making a snowman. )",
afterwards,"adverb; At a later time; after on event has already been mentioned. 
→ He writes down what the words mean. Afterwards, he reads the book again. ",
excite,Synonym : arouse. ,
arouse,to make someone have a particular feeling or attitude. ,
share,"{ use at same time } divide between people, to divide something between to or more people.
→ We share the pizza between the four of us.",
split,"{cut, tear } to tear or to make something tear.
→ They share a banana split. ",
split etymology,"split, splits, split, split, splitting.",
scold,"verb; to speck angrily to somebody, especially a child, because they have done something wrong. Synonym : rebuke.
→ The teacher scolds him and gives him an “F”.",
mess,"{ make untidy, … } 1. to make something dirty.
Mess up :  to spoil something or do it badly.",
spill etymology,"spill, spills , spilled, spilled, spilt, spilt, ",
roller coaster,"A track at the fireground the goes up and down very steep slopes and that people ride an in small train for fun and excitement. 
→ The roller coaster ride is fun an fast.",
flu noun,"Often : flu and in formal : influenza.
An influenza disease like a very hard cold that causes fever, pain and weakness. 
→ No one like the flu.",
"clown v,n","noun, an entertainer who wear funny clothes and a large nose and does silly thing to make people laugh.
→ Robert was always the class clown. 
Verb and its noun have the same mean.",
juggle,"verb; to throw a set of three or more object such as balls into the air and catch and throw them again quickly, one at a time.
→ She sees people juggling balls.",
teach etymology,"teach, teaches, taught, taught, teaching. ",
hoop,"A large ring of plastic, wood, iron.
→ There are lions that jump through hoops of fire.",
"ban v,n","verb; to decide or say officially that something in not allowed. Synonym : prohibit. 
→ They ban him form eating fattening foods.",
