,,
get on,"# Used to talk or ask about how well somebody is doing in a particular situation.
→ He is getting on very well at school.
→ How did you get on at the interview ?
# Used to when you goes into the vehicle like a bus
→ He walk to the bus stop. He waits five minutes. He gets on the bus.",
quarter,"# One of four parts into which something can be divided.
→ Half, Third, Quarter.
# Money especially a coin : used in US and Canada worth 25 cent.
→ He gets on the bus. He puts in a quarter. ",
crayon ,"# A colored pencil or  stick of soft colored chalk, used for drawing.
→  She gets her crayons. She opens the book. There is a drawing of a bunny dancing.",
bunny,"# Plural : bunnies, also bunny rabbit. A child’s word for a children .",
rip out,"# Almost equivalent to ‘rip up’
→ She rip the page out. She sticks it to the wall.",
to the wall,"# to the wall is correct, not on the wall. When we use the on that exist an surface like paper. I write down on the paper.",
"in which, on which","# “in which” means: something that in the something 
# “on which” means: something that on the something.",
pull out,"# Phrasal verb. Get something out. Pulling something toward outside. 
→ She looks at the shelves. She polls out a book. She opens the book.",
librarian,"# Somebody who works in a library.
→ She gives it to the librarian. The librarian gives her back the card and the book. ",
snack,"# Noun. A small amount of food that is eaten between main meals or instead of a meal. 
→ He puts a snack in his backpack. ",
essay,"# 1. A short piece of writing about a particular or subject by a student as part of a course of study.
→ She is taking an English class. She has to write an essay. ",
penguin,"# A large black and white antarctic sea bird, which cannot fly but uses its wings for  swimming.
→ The essay is on penguin.
# pay attention to ‘on’ above. ",
"on ,prep","# 6. about something / somebody.
→ A book on South Africa. 
→ She tested us on irregular verb.",
riddle,"# A question that is difficult to understand and that has a surprise answer that you ask somebody as a game.
→ Stop talking in riddle ( = saying things that are confusing , say what you mean. )",
"over ,adverb","# 8. ended.
→ by the time we arrived the meeting was over. 
→ The bell rings. The class is over. ",
punch,"# Verb. To hit somebody / something hard with your fist ( = closed hand ).
→ He was kicked and punched as he lay on the ground. ",
as he lay,# pay attention to ‘as’ here . As he lay on the ground. It is different means with ‘I am working as a teacher.’ ,
go wrong,"# Adverb.  To make mistake. 
→ When did we go wrong with those kids. ( = what mistakes did we make for them to behave so badly. )",
take note,"# ( of something ) To pay attention to something able sure to remember it.
→ Take note of what he says.
# Synonym : Notice. ",
