,
week fifth ,starting from lesson 01 to 30 / at July 16th to 20th 
Barbie,# A kink of a doll. A doll that looks like an attractive woman. Often says : Barbie doll.
stool,"# A seat with legs, but with nothing to support your back or arms on it.
→ A bar stool or A piano stool."
throw a fit,"# IDM, ( informal ) to be very shocked, upset or angry.
-- Your mother would have a fit if she knew you would been drinking. 
# throw a fit / or / have a fit . Each of them are correct. 
- Sally points at it. “Mom, let’s get that one” Her says no. Sally throws a fit."
relative,"# noun. A person who is in the same family as somebody else. Synonym : relation.
→ Her friends and relatives. 
→ All her friends were coming. Her relatives were also coming. "
streamer,"# A long narrow piece of colored paper, used to decorate a place for a party or other celebration.
→ Her dad spent all day decorating their house. There were balloons, banners, streamers."
"last ,verb","# To continue for a particular of period of time. 
→ It will last forever.
→ Each game lasts about an hour.
→ How long does the play last ?"
impressive,"# ( of things or of people ) making you fell admiration because they very large,good,skillful, etc.
→ She was very impressive in the interview.
→ An impressive building with a huge tower.
→ Her smile disappeared. The animals were not that impressive. "
admiration ,"# A feeling of respect and liking for something  / somebody.
→ To watch in admiration. "
lenient ,"# adjective, Not strict in the way you punish someone or in the standard you expect.
→ School examiners say that marking have become more lenient in recent years.
→ Some parents do not even punish their kids. They are very lenient. "
strict,"# Expecting people to obey rules or to do what  you say. Opposite : Lenient. 
→ She is on a very strict diet. 
# That must be obeyed exactly."
rabies,# A disease of a dog an other animals that causes ‘insanity’ and death. Infected animals can pass the disease to humans by bitting them. 
insanity,"# Insane : seriously mentally ill and unable to live in normal society
→ Doctor certified him as insane. "
right away/off,"# immediately or without delay. 
→ When her dad parked the car, she opened the car door right away. "
parental ,"# connected with parent or parents. Usually used before noun. 
→ Parental Punishment. "
instruction,"# Academic Word. Detailed information on how to do or use something. Synonym: directions. 
→ Always read the instructions before you start.
→ She looked up instructions online."
technique,"# A particular way of doing something, especially one in which you have to learn special skills.
→ Marketing techniques.
→ Teachers learn various techniques for dealing  with problem students. 
→ She studies the techniques."
attempt,"# To make an effort or try to do something, especially something difficult.
→ She first attempted a dog."
trace,"# 1. To find or discover somebody /something by looking carefully for them/it. Synonym: track down.
# 2. to find the origin or causes of something.
# 3. To describe a process of the development of something.
# 4. To draw a line or lines on a surface. 
→ After several tries, she finally got it. She traces the outline. "
arts and crafts,"# Activities that make both artistic and practical skills, such as making clothes, jewellery and pottery. 
→ Mrs. Yue was working on arts and crafts with her kids at school. "
craft,# An activity involving special skill and making things with your hands.
"wonder ,n","# A feeling of surprise and admiration that you have when see or experience something beautiful, unusual, or unexpected. Synonym: Awe"
"wonder ,v","# thinks about something and try to decide what something is true, what will happen, or what you should do.
→ The children wondered what they were going to make. "
look up,"# informal of business or something’s situation. To become better. Synonym: improve. 
→ She looked up instructions online. "
clean sth up,"# To remove dirt, etc form somewhere.
→ Who is going to clean up these mess ?
→ After having a lot of fun, the kids cleaned up their mess."
"tour v,n","# noun. A journey made form pleasant during while several different towns, countries, etc are visited. 
→ A coach tour, a tour operation, A tour guide."
fascinate ,"# verb, to attract or interest someboyd verb much. 
→ China has always fascinated me.
→ The private lived of movie stars never fail to fascinate."
field trip,"# A journey made by a group of people, often students to study something in natural environment. 
→ The kids are at a water park for a field trip."
"Take ,36","# 36. { exam } To do an exam or a test.
→ When did you take your driving test ?
→ Hector decides to take the risk ."
"Take ,26","# 26. used with a noun to say that someone is doing something, performing an action, etc.
→ to take a break / rest
→ to take a deep breath
→ to take a dip / swim
→ He take a pause before he goes down."
line up,"# To arrange people or things in a straight line or row.
→ Hector is now ready to line up and go again. "
behind,"# Adverb. At or towards the back of something / somebody; father back.
→ The others are along way behind. 
→ He had to leave all his friends behind. "
feel out,"# to find out what someone’s opinions or feeling are, without asking them directly. 
→ I thought I would feel out some of my colleagues ( syn : co-worker ) before the meeting.
→ When he got there, everything felt weird. It felt out of place. "
find out,# To get information after trying to discover in or by chance. 
rip,"# to tear something or become torn, often suddenly or violently . ( torn is past part of tear )
→ The nail ripped a hole in my jacket. "
tear etymology,"# tear, tears, tore, torn, tearing. "
forgetful,# Often forgetting things. Synonym: absent-minded. 
Absent-minded,"# likely to forget things, especially because you are thinking about something else. Synonym: Forgetful. "
fancy,"# unusually complicated, often in an unnecessary way. Something are fashionable or expensive. Fancy restaurant, hotel, car, party, etc.
→ They were going to a fancy party. 
# intended to impress other people. Opposite: simple "
intend,"# longman. 1. To have something in your mind as a plan or purpose. ( intention )
→ I intend to spend  the night there. "
slacks,"# pants for man or woman, that are not part of a suit.
→ A pair of slacks
# 5. trousers
→ dress slacks ( = for more formal occasions )"
confuse,"# verb, to make somebody unable to think clearly or understand something. Synonym: mix up.
→ The host screamed. William was confused."
in person,"# if you do something in person, you go somewhere and do it yourself, instead of doing something by letter, asking someone else to do it etc. 
→ You have to do sign for it in person. "
webcam,"# noun. A video camera that broadcasts what is filming on a website. 
# here I do not know why it is a verb.
→ The only time he saw them was when he webcammed with them. "
let sth go,"# To stop holding something / somebody. 
# To allow someone to leave a place where they have kept been. Synonym: Release. 
→ She just used it yesterday. She decided to let it go."
"trade v,n","# to buy and sell things. 
→ Our products are now treaded worldwide. 
→ He asks Ted, Julia, and Lauren if they are willing to trade. They say no. "
handful,"# the amount of something that can be held in one hand. 
→ A handful of rice. 
→ Ted grabs a handful of chips to him. "
break off,"# to become separated from something as result of force.
→ The back section of the plane had broken off.
→ Lauren breaks off a branch of grapes.
# to stop speaking or stop doing something for a time. 
→ He broke off in the middle of a sentence."
branch,"# A part of a tree that grows out form the TRUNK ( = main stem ) and that has leaves, fruit or smaller branches growing form it. "
laundry,"#  clothes, sheets, etc that need to be washed or have just been washed. 
→ She did the laundry ( = washed the clothes,etc ) and hunt it out to dry. "
concentrate ,"# to give all your attention to something and not think about something else.
→ I cannot concentrate with all that noise going on.
→ Her baby brother kept crying. It was too loud. She could not concentrate. "
blender,"# ( British : liquidizer ) An electric machine for mixing soft food or liquid.
→ Combine the milk and eggs in a blender. 
→ She went to a coffee shop. The blender was too noisy. ( noise and noisy )"
"mess ,n","# noun, A dirty or untidy state
→ The room was in a mess. 
→ Birds stated to poop on her hair. Her hair was a mess ( why did not use ‘is’ here ? )"
chef,"#noun. Professional cook, especially the most senior cook in a restaurant, hotel, etc. 
→ Her mom is a good chef."
jealous,"# 1. feeling angry or unhappy because somebody you like or love is showing interest in somebody else.
→ A jealous wife / husband .Synonym: envious ."
envious,"# wanting to be in the same situation as someone else, wanting something that someone else has. 
→ Everyone is so envious of her. "
bully,"# a person who use their strength  or power to frighten or hurt weak people.
→ The school bully. 
→ Sam was known as the school bully. "
kick out ,"# ( informal ) To make somebody leave or go away from somewhere. 
→ The teacher gave an announcement. The bully was kicked out of school."
pack sth up,"# To put your possessions into a bag, etc before leaving a place. 
→ His mom tells him to pack up. He packed his belongings. "
belongings,"# The things that you own which can be moved for example not land or building. Synonym: Possessions.
→ She packed her few belongings in a bag and  left."
"pace ,v","# verb. 1X 2x 3. To find the right speed or rhythm for your work or an activity so that you have enough energy to do what you have to do.
→ He will have to learn to pace himself in this job. 
→ She knew what to do the next time. She was going to go a steady pace."
steady,"# adjective, Developing, growing, etc gradually and in an event and regular way. Synonm: constant. 
# 2. not changing and not interrupted. Synonym: regular. 
→ A steady job / income. 
→ Five years of steady economic growth. "
pace noun,"# The speed at which something / somebody walks, runs or moves.
→ To set off at a steady / gentle / leisurely pace."
principal ,"# adjective, most important, main
→ The principal reason for this omission is lake of time.
# noun . A teacher who is in charge of a school. "
principle,"# noun. A moral rule or strong belief that influences your actions. 
→ He has high moral principle. "
participle ,"# ( in English , noun, grammar ) A word formed from a verb, ending an -ing ( = the present participle ) or -ed , -en ,etc ( = past participle )"
influence ,"# A person or thing that affects the way a person behaves or think.
→ Cultural influences.
→ A bad influence. "
ignore,"# verb, Academic word, To pay no attention to something. Synonym: disregard.
→ He made Gary become mean. Gary started ignoring his friends."
