,
Chapter 5,Beginning of English for children 2
,
Lesson 1,# form 1 to 6
,
fly etymology,"# fly, flies, flew, flown, flying."
"bounce ,v","# if something bounces or you bounce it, it moves quickly away form a surface it has just hit or you make it do this.
- The ball bounced twice before he could reach it.
- The ball bounced up and down."
cherry,"# ( also cherry red ) bright red color.
- Cherry lips.
# noun ( plural: cherries ) a small soft round fruit with shiny red or black shin and large seed inside.
- She asked her little brother. ""Because a red berry is a cherry!"" her brother said."
,
Lesson 2,# form 6 to 12
,
"shake ,e","# shakes, shook, shaken, shaking. 
- He shook the bottle."
"sit ,e","# sits, sat, sat, sitting.
- The baby birds sat in the nest"
"nest ,n","# a hollow place or structure that a bird makes or chooses for laying its eggs in and sheltering its young.
- To leave the nest. (= leave your parent's home)"
"see ,e","# sees, saw, seen, seeing."
"sing ,e","# sings, sang, sung, singing.
- Brenda sang a song. She sang a song while she walked to school."
"know ,e","# knows, knew, known, not used in progressive tenses.
- She knew that one and one are two."
"is it, idm","# that is it, in the past: that was it.
- She knew that three and three are six. But that was it."
"dry ,e","# dries, dried, dried, drying.
- She dries her hand on a clean towel."
"pat ,v","# to touch something / somebody several time with your hand flat, especially as a sing of affection. 
- She patted the dog on the head."
affection,"# the feeling of liking or loving something / somebody very much and caring about them.
- He did not show his wife any affection.
# caring ( care )
- Children needs lots of love and affection."
"pet ,v","# ( in meaning is almost near pat, but has little difference.)
# to touch or move your hand gently over an animal or a child in a kind and loving way.
- The wanted to pet the animals."
,
Lesson 3,# form 13 to 18
,
"ride ,e","# rides, rode, ridden, riding. 
- She rode her horse almost every day."
"hold ,e","# holds, held, held, holding.
- She held her nose. She jumped into the water.  She went under the water."
"stand ,e","# stands, stood, stood, standing.
- She stood at edge of the pool."
"feel ,e","# feels, felt, felt, feeling.
- The water felt so good."
"bring ,e","# brings, brought, brought, bringing. 
- Sharon's mother had brought her to the pool."
"buy ,e","# buys, bought, bought, buying.
# has no 'r' here."
ladder,"# noun. A piece of equipment for climbing up and down a wall, the side of a building, etc consisting of two lengths of wood or metal that are joined together by steps or rungs. 
- To climb up / fall off a ladder.
- She swam to the ladder in the pool."
"swim ,e","# swims, swam, swum, swimming."
letter,"# a message that is written down or printed on a paper and usually put in an envelope and send to someone.
- British : to post a letter.
- American : to mail a letter.
- Lulu wrote a letter to her grandma. "
latter,"# ( opposite: earlier ( early ) ) used to refer to the second of two things, people, or group that have just been mentioned, or the last in the list.
- The latter half of the year.
- He presented two solution, the latter seems much better. "
later,"# at the time in the future; after the time you are talking about.
- See you later.
- I met her again three years later.
- Her father died later that year."
"write ,e","# writes, wrote, written, writing. "
"done ,adj","# finished or completed.
- When you are down, perhaps I can say something. 
- After writing the letter, Lulu told her mom she was done."
,
Lesson 4,# form 19 to 24
"running ,adj","# running or flowing, in the way.
- I can hear the sound of running water.
- A fast-running river.
- Larry has the flu. His nose is running. "
"trunk ,n","# 1. the thick main stem of a tree that the branches grow from
# 2. the space at the back of a car that you put bags, cases, etc in
# 3. long nose of an elephant
# 4. swimming trunk
# 5. a large strong box with a lid need for storing or transporting clothes, etc
# 6. the main part of the human body apart from the head, arms, and legs.
- His new car has four doors. It has a trunk."
"spare ,n","# noun. Verb. Adjective. An extra thing that you keep in case you need to replace the one you usually use ( used especially a tire of a car )
- I have lost my key and I have not got a spare.
- It has one trunk. The spare tire is in the trunk."
"hood ,n","# the metal part over the front of a vehicle usually covering the engine. 
- His new car has one hood. The engine is under the hood."
"buckle ,v","# verb, noun. To fasten something or be fastened with a buckle. 
# noun: a piece of metal or plastic used for joining the ends of a belt or fastening a part of a bag, shoe, etc.
- Mark sits in the front seat when he drives his new car. He always buckles his seat belt."
"belt ,n,v","# noun: a long narrow piece of leather, cloth, etc  that you wear around the waist. "
"cap ,n,v","# noun: { on pen / bottle / carton / ? } a cover or top for a pen, bottle, carton, etc.
- James took the milk out of the refrigerator. He took the cap off the carton of milk. "
pour,"# to make a liquid or other substance flow from a container in a continuous stream, especially by holding container at the angle. 
- He poured some milk into the glass. He poured some chocolate syrup into the glass of the milk. "
pure,"# adjective: not mixed with anything else; with nothing added.
- Pure gold / silk ,etc."
stir,"# verb: ( -rr- ) { mix, move in circle way }
# to move a liquid or substance around, using a spoon or something similar, in order to mix it thoroughly. ( thoroughly: completely )
- He stirred the milk with a spoon. He licked the spoon.
# around here: move in a circle way"
"rear n,v,adj","# noun: the back part of something. 
- There are toilets at the front and rear of the plane.
# adjective: at or near the back of something.
- front and rear window
- He puts air in the rear tire.
- the rear entrance to the building
# verb: to care for young children. "
,
Lesson 5,# from 25 to 30
,
trust,"# to have confidence in somebody; to believe that somebody is good, honest, sincere ,etc.
- Trust God.
- She only trust God. She does trust the hospital."
"over ,adv","# 3. across a street, an open space ,etc.
- I went over (= across the room) and asked her name.
- After English class she walks over to the pool."
"instruct ,v","# Academic Word. (formal ) to tell somebody to do something , especially in a formal or official way. Synonym: direct and order."
instructor,"# someone who teaches a sport or practical skill.
- A driving instructor. 
- Ski instructor. 
# North American: a teacher below the rank of assistant professor at a collage or university. 
- Her coach is her swim instructor. "
Guess what?,"# Adam's mom said, ""Guess what?"" We have a new son."""
saint,"# a person that the Christian Church recognizes as being very holy, because of the way they have lived or died.
# very good, kind or patient person."
angel,"# 2. a person who is very good and kind; a child who behaves well.
- At church she was with the saints. She was with the angels. And most of all, she was with God."
,
second week,beginning of the week
,
Lesson 6,# form 31 to 36
,
blouse,"# a piece of clothing like a shirt, worn by women.
- Patty got a doll for Christmas. It is a rag doll. It has a blue blouse. "
most of all,"# greatest degree. 
- At church she was with the saints. She was with the angels. And most of all, Peggy was with God."
porch,"# noun. A platform with an open front and a roof, built onto the side of a house on the ground floor. Synonym: veranda in British.
- The porch light shined on the cat.
- Her mom came outside on the porch. She looked at the cat."
rag doll,# a soft doll made form pieces of cloth
