English level 2,started on October 15th,,
FIRST,WEEK,,
,,,
Lesson 01,# from 1 to 3,,
,,,
reflection ,"# an image in a mirror, or a shiny surface, on water, etc.
– He admired his reflection in the mirror. 
– He went to his bathroom mirror. He saw his reflection. ",,
facial ,"# ( face .. facial ) connected with a person face.
– He has grown facial hair. ",,
razor ,"# an instrument that is used for shaving.
– an electronic razor.
– He grabbed the razor and started shaving. ",,
aftershave,"# a liquid with a pleasant smell that men sometimes put on their face after shave
– He washed his face an applied aftershave.",,
"sting ,e","# stings,    stung,    stung,    stinging. 
– the cut stung him a little.",,
hush,"# to be quiet; to stop talking or crying.
– Hush now and try to sleep.
– She looked out the window to see what it was.
.. It was a black cat climbing a tree.
.. She hushed the cat.",,
past,"# adverb. from on side of something to another side.
– I called out him and he run past.
– He walked past his neighbor’s house.",,
,,,
Lesson 02,# from 4 to 6,,
,,,
sticky,"# make of or covered in a surface that stick to things that touch it.
– The sun was shining in the sky. The air was sticky.",,
pitcher,"# ( British jug ) a container with a handle and a lip, for holding and pouring liquid.
– A pitcher of water.
– Jane grabbed some lemons and a big pitcher.",,
shiver,"# ( of a person ) to shake slightly because you are cold, frightened, excited, etc.
– Jim was shivering because it was cold. ",,
rub,"# ( bb ) to more you hand, or something such as a cloth, backward and forward over a surface while pressing firmly.
– He rubbed her hands together. ",,
brew,"# 1. to make beer. 2. to make a hot drink of tea or coffee
– freshly brewed coffee
– He pressed a button and it started brewing. ",,
escort,"# to go with somebody to protect or guard them or to show them the way.
– The President arrived, escorted by twelve soldiers.
– Children were escorted to the front gate.",,
alongside,"# next to or at the side of something
– A police car pulled up alongside us.
– Nick caught up with me and rode alongside. ",,
,,,
lesson 03,# from 7 to 9,,
,,,
braces,"( especially North American ) a metal device that children wear inside the mouth to help their teeth grow straight.
– Her hair was short and straight. She also has braces.",,
huddle,"# ( of person or animal ) gather closely together, usually because of cold or fear.
– They all huddled around the fire.
– Jim forgot to bring an umbrella for Nancy. Jim and Nancy huddled together under Jim’s umbrella. ",,
strike ,"# irregular verb. strikes, struck, struck, striking. 
– to hit somebody / something hard or with force.
– The ship struck a rock.
– Lightning struck across the sky.",,
starve,"# to suffer or die, because you do not have enough food.
– pictures of starving children. 
– He has not eaten in five hours. He was starving. ",,
suffer,"# to be badly especially by disease, pain, sadness, a lake of something, etc.",,
loaf,"# an amount of bread that has been shaped and baked in one piece.
– A loaf of bread.
– Two white loaves, please.
– He went to his kitchen. He took out a loaf of bread.",,
glaze,"# to cover something with a glaze to give it a shiny surface.
# glaze, noun: a thin clear liquid put on clay object
– He unzipped the container of ham. The ham was honey glazed. 
– He put the vegetable on top of the cheese and ham. He glazed it all with ketchup and mustard. ",,
mustard,# a thick cold yellow or brown sauce that tastes hot and spicy and usually eaten with meat.,,
scramble ,"# { eggs } to cook an egg by mixing the white and yellow parts together and heading them, sometimes with milk and butter.
– making scramble eggs.
– She scrambled them ( eggs ) with a spatula.",,
knob,"# a round switch on a machine such as a T.V. that you turn it on and off, etc.
– She turned on the stove and places a pan on the stove. She turned the knob on the stove. The fire was lit.",,
toss,"# 4 {in cooling} to shake or turn food in order to cover it with oil, butter, etc.
– She grabbed a stick of butter form the fridge. She tossed the butte on the hot pan.",,
spatula ,"# a tool with a broad flat handle used for mixing and spearing things, especially in cooking and painting. ",,
,,,
lesson 04,# from 10 to 12,,
,,,
entertain,"# to invite people to eat or drink with you as your guests, especially in you home
# to interest and amuse someone in order to please them.
– Watching television in entertaining. ",,
entertaining,# entertaining and amusing. ,,
documentary,"# ( documentaries ) a film or a radio or television program giving facts about something.
– Sam watched sports. Sam watched documentaries. Sam watched sitcoms.",,
sitcom,# ( also formal: situation comedy ) a regular program on television that shows the same characters in different amusing situation. ,,
inform ,"# to tell somebody about something, especially in an official way.
# to find out information about something. 
– Watching television is informing. ",,
pull-up,"# (also chin-up ) in exercise in which you hold onto a high bar above your head and pull yourself up towards it.
– He did pull-ups and push-ups.",,
push-up,# ( also press-up) an exercise in which you lie on you stomach and rise your body off the ground by pressing down your hands until your arms are straight. ( becomes straight),,
sit-up,"# an exercise for making your stomach muscles strong in which you lie on your back on the floor and rise the top part of your body to a sitting position. 
– He did sit-up and crunches. ",,
crunch,"# 1. a noise like the sound of something firm being crushed. 
– The crunch of feet on snow.
# 4 = sit-up",,
"ride ,e","# rides,    rode,    ridden,    riding.
– He rode his bicycle everywhere.",,
vital,"# 1. necessary on essential in order for something to succeed and exist. 
# 3. ( of a person ) full of energy and enthusiasm. synonym: dynamic.
– He felt powerful. He felt vital. He felt fast.",,
enthusiasm ,# a strong feeling of excitement and interest in something and a desire to become involved in it.,,
confident,"# feeling sure about your own ability to do things and be successful. 
– He feel attractive. It made her fell confident. ",,
self-esteem ,"# a feeling of being happy with you own character and abilities. synonym: self-worth. 
– to have high / low self-esteem. ",,
,,,
,,,
lesson 05,# from 13 to 15,,
,,,
approach,"# {move near} to coma near to something / somebody in distance or time
– As you approach the town, you will see the collage on the left.
– The dog looked lost. He approached the dog.",,
well-groom,"# ( of a person ) looking clean, neat and carefully dressed. 
– Spike was a small dog. He looked well-groomed.",,
