the start of ,"English Level 3, Monday on December 5th ",
lesson 1,"# week 1, from 1 to 4",
buddy,"# (plural: buddies) (informal) a friend
# 2. used to speak to a man you do not know
# a partner who does an activity with you so that you can help each other
– He really wanted to be friends with Jason’s buddies. ",
give away,"# to give something as a gift
– He had to give all of them (sweaters) away.",
was up,"# Every morning, Dorothy was up at 5:00 am.",
teens,"# noun: the year of person’s life when they are between 13 and 19 years old
– As teens, the girls spent every weekend out on dates.",
teenage,"# adjective: the year of person’s life when they are between 13 and 19 years old; connected with person of this age
– teenage girls / boys
– teen magazines ",
"as ,adverb","# 1. as … as
# 2. used to say that something happens in the same way
– As always, he said little.
– The ‘h’ in honest is silent, as in “hour”.",
,,
lesson 2,"# week 1, from 5 to 8",
,,
slope,"# a surface or piece of land that sloped (= is higher at one end other than other)
– Then we can go to the advanced slope.
– a gentle / steep slope
– a slope of 34 degrees 
# verb: (of a horizontal surface) to be at an angle so that it is higher at one end than the other
– The garden slopes away towards the river.
– The path sloped gently down.",
giant,"# noun: (in story) a very large, strong person who is often curl and stupid
# adjective: very large; much or more important than similar things usually are
– a giant-size of box of tissues
– a giant crab
– She looked like a giant snowball by the time she reached the bottom of the slope.",
monument,"# a building, column, statue, etc built remind people of famous person or event
– A monument to him was erected in Washington, D.C.
– John wanted to see the Golden Gate Bridge, the Grand Canyon, Old Faithful, and many other monuments.",
lately,"# recently; in the recent past
– Have you seen her lately?
– It is only lately that she has been well enough to go out.
– I have not been sleeping well lately.
– Sea World have been under a lot of pressure lately.",
convince,"# to make somebody / yourself believe that something is true
– I would convinced myself (that) I was right.
– You will need to convince them of your enthusiasm for the job
– He wanted to convince him to move to Los Angeles with him.",
enthusiasm,"# a strong feeling of excitement and interest in something, and a desire to become involved in it
– I cannot say I share your enthusiasm for the idea.
– He had a read enthusiasm for the work
– She never lost her enthusiasm for teaching. ",
pointless,"# having no purpose; not worth doing 
– We searched until we knew it would be pointless to continue.
– Trying to foresee the future is a pointless exercise.
– He argued pointlessly with his parents
– the pointlessness of war ( here is a noun)",
,,
lesson 3,"# week 1, from 9 to 12",
,,
horror,"# feeling of great shock, fear or disgust 
– People watched in horror as the plane crashed to the ground.
– With a look of horror, he asked if the doctor thought he had cancer.
– The girls watched a horror movie.",
bring ? back,"# bring something / somebody back. to return something / somebody
– “They should bring these back,” said Donna. ",
bunch,"# noun: a number of thing of the same type which are going to fastening together
– She picked me a bunch of flowers. 
# 3. a group of people 
– The people that I work with, are a great bunch. 
– It was scarier than watching it in a room with a bunch of people.",
buffet,"# a meal at which people server themselves from a table and then stand or sit somewhere else to eat.
– a lunch / dinner buffet
– Dinner will be buffet style, not a sit-down meal.
– Dinner will be cold buffet, not a sit-down meal.
– It was an “All-You-Can-Eat Buffet”.",
addiction,# the condition of being addicted to something,
addicted,"# adjective: unable to stop taking harmful drugs or using or doing something as a habit
– He was a chain smoker. Mr. White knew his addiction was unhealthy. ",
lung,"# either of the two organs in the chest that you use for breathing
– They found a tumor on the left lung. He had cancer from all smoking. ",
,,
lesson 4,"# week 2, from 13 to 16",
,,
sill,"# 1. windowsill 
# 2. a piece of metal that forms part of the frame of a vehicle below the doors
# windowsill: a narrow shelf below a window, either inside or outside
– Place the plants on a sunny windowsill. ",
janitor,"# a person who take responsibility of taking care of or protecting of something
# also custodian 
– The museum custodian 
# 2. a person whose job is to take care of a building such as school or a block of flats or an apartment building
– Mr. Gonzales was a janitor. He was unhappy with his career.",
