English Level 4,Today is Saturday on January 14th
,
WEEK 1,"# LESSONS 1,2,3,4,5"
lesson 1,# from 1 to 4
creamy,"# think and smooth like cream
– > It was called Creamy Goodness."
goodness,"# 1. the quality of being good
– > the essential goodness of human nature"
scoop,"# verb: to move or lift something with scoop or like a scoop
– > She scooped ice cream in their bowls. 
– > He worked at the cashier. He scooped the ice cream. "
scan,"# (nn) to look at every part of something carefully, especially because you are looking for a particular things or person ( synonym: scrutinize )
– > She scanned his face anxiously. 
– > I scanned the list quickly for my name.
– > He scans items. "
concession,"# noun: 1. something that you allow or do or allow somebody to have, in order to end an argument or to make a situation less difficult 
– The company will be forced to make concessions if it wants to avoid a strike. 
# 4. the right to sell something in a particular place; the place where you sell it; sometimes an area that is part of a larger building or store
– > the fast food concessions at the stadium
– > He went to the concession stand. He bought popcorn and sode."
comfy,"# (informal) comfortable 
– > He went inside viewing room. He found a comfy seat."
duty,"# noun: (plural: duties) something that you feel you have to do because it is you moral or legal responsibility 
– It is my duty to report it to the police. "
oily,"# containing or covered with oil
– > oily fish
– > an oily substance
– > Danielle looked in the mirror. Her hair was oily. She needed to wash it."
tablecloth,"# ( or table cloth ) a cloth that you use for covering a table, especially when you have a meal
– > She did not wanted to look bad though. She got a table cloth. It had a pick flowers on it. She wrapped it around her hair."
,
lesson 2,# from 5 to 8
cable,"# 1. thick strong metal rope used on ships for supporting bridges, etc
# 3. { cable television ( cable TV ) } a system of broadcasting television programmers along wires rather than by radio waves
– > She turned on the TV. There was no cable."
parking lot,"# an area where people can leave their cars ( compare car park )
– > There were too many cars in the parking lot."
in time,"# ( for something / to do something ) not late; with enough time to be able to do something 
– > The ambulance got there just in time.
– > She ran out of the car, but she did not make it in time."
gain,"# to obtain or win something, especially something that you want or need
# 3. { get more } to gradually get more of something 
– > to gain confident / strength / experience 
– > I have gained weight recently. 
– > He was scared. What if he gained weight?"
jumbo,"# (informal) very large; larger than usual
– > a jumbo pack of cornflakes
– > He ordered the jumbo size."
,
lesson 3,# from 9 to 12
,
rip,"# to tear something or to become torn, often suddenly or violently 
– > She rips off the lid halfway. She rips the seasoning packet."
lid,"# a cover over a container that can be removed or opened by turning it or lifting it
– > a dustbin lid
– > I cannot get the lid off that jar."
seasoning,"# a substance used to add flavor to food, especially salt and pepper.
– > Stir in the lemon rind and seasoning. "
groan,"# to make a long deep sound because you are annoyed, upset or in pain,or with pleasure ( synonym: moan )
– > He lay on the floor groaning. 
– > She could not eat cereal without milk. She groaned."
come up,"# to be going to happen soon
– > She is always busy. She has an important test coming up."
,
lesson 4,# from 13 to 16
,
generous,"# going or willing to gave freely; given freely ( opposite: mean )
– > It was generous of him to offer to pay for us both
– > She had a lot of money. She was a generous woman. She wanted to help out."
spit,"# 1. to force liquid, feed, etc. out of your mouth
# 2. to force saliva (= the liquid that is produced in the mouth) out of your mouth, often as sign of anger or lack of respect
– > He has no respect for anyone or anything. He spits on the ground.
– > He coughed and spat
# ( spitting, spat, spat )"
maid,"# a female servant in a hotel or house 
– > There is a maid to the housework. 
– > He yells at his maid."
,
lesson 5,# from 17 to 20
,
give in,"# to agree to do something that you do not want to do
– > Amanda wants John to meet her parents. John does not want to. Amanda yells at him. He gives in."
approve,"# to think  that something / somebody is good, acceptable or suitable 
– > I told my mother I wanted to leave school but she did not approve.
– > Do you approve of my idea?
– > She wishes that he was a doctor. She does not approve."
manage,"# 1. { do something difficult } to succeed in doing something, especially something difficult 
– > I do not know exactly how we will manage it, but we will somehow.
– > She managed to find her."
by,"# adverb: equals past
– > Excuse me, I cannot get by.
– > Time goes by so quickly. 
– > Time goes by too fast.
– > She posted them on a website. Two weeks passed by."
,
WEEK 2,"# LESSONS 6,7,8,9,10"
lesson 6,# from 21 to 24
,
potluck,"# ( American ) a meal to which each guest brings some foods, which is then shared out among the guests
– > The soccer team had a potluck dinner. Each member brought one kind of food or drink."
burrito,"# a Mexican dish consisting of a tortilla filled with meat or bears 
– > There were noodles, chips, soda, and burritos. "
,
lesson 7,# from 25 to 28
,
amuse,"# to make somebody laugh or smile 
– > My funny drawing amused the kids
# to make time pass pleasantly for somebody / yourself || entertain "
amusement,"# the feeling that you have when something is funny for amusing, or entertains you
– > She could not hide her amusement at the way he was dancing."
tray,"# a flat piece of food, metal or plastic with raised edges, use for carrying or holding things, especially food
# 2. a shallow plastic box
– > She gave her a food tray."
silly,"# noun: ( informal ) often used when speaking to children to say that they are not behaving in a sensible way
– > No silly, those are not your shoes!
– > “It is eggs silly, you favorite,” Cynthia said. "
,
lesson 8,# from 29 to 32
,
cabbage,"# a round vegetable with large green, purplish-red or white leaves that can be eaten raw or cooked
– > She planned to make fried cabbage. It was healthy and easy to make."
diverse,"# very different from each other and of various kinds
– > people from diverse culture
– > America is very diverse."
urban,"# connected with a town or city
– > urban like 
– > Los Angeles and Bakersfield are both in California. Los Angeles is urban."
rural,"# connected with or like countryside. 
– > a rural of life 
– > rural America 
– > Bakersfield is rural. "
milkshake,"# a drink made of milk, and sometimes ice cream with an added flavor of fruit or chocolate, which is mixed or shaken until it is full of bubbles. 
– > a banana milkshake 
– > He ordered a burger and a milkshake. "
shake etymology,"# shake, shook, shaken "
,
lesson 9,# from 33 to 36
,
soggy,"# wet and soft, usually in a way that is unpleasant 
– > Heather has a funny habits. She likes soggy cereal."
dumpling,"# a small ball of dough (= a mixture of flour, fat, and water )
– > She likes to eat mustard with dumplings. "
pretzel,"# a crisp salty biscuit in the shape of a knot or stick often served with drinks at a party
– > She likes eating bananas with pretzels. She is not shy to eat weirdly around her friends. "
dairy,"# 1. made from milk
# 2. connected with production of milk rather than meat
– > The doctor told me to eat less red meat and dairy.
– > She went to the dairy aisle. "
meaningful,"# 1. serious or important. 
– > a meaningful relationship
– > Dianne wanted to get Tina a gift. She wanted to get Tina something meaningful.
# 2. intended to communicate or express something to somebody, without any words being spoken
– > She gave me a meaningful look.
# 3. heaving a meaning that is easy to understand
– > These statistics are not very meaningful."
,
lesson 10,# from 37 to 40
,
cranberry,"# a small sour red berry that grows on small bush and it is used in cooking
– > cranberry sauce 
– > Then, she felt a cold splash on her. Someone accidentally spilled cranberry juice on her."
standout,"# ( or stand out ) to be easily seen; to be noticeable 
– > She went to reunion. Everyone looked at her. She stood out."
wholesale,"# adjective and adverb: connected with goods that are bought and sold in large quantities, especially so they can be sold again to make a profit
– > Maya likes to save money. She likes wholesale stores more (?much) than markets. 
– > We buy the building materials wholesale. ( adverb )"
quantity,"# an amount or a number of something 
– > Wholesale stores sell things in large quantities. "
thrift,# ( approving ) the habit of saving money and spending it carefully so that none is wasted. 
thrift shop,"# ( or charity shop )  noun a shop/store that sells clothes and other goods given by people to raise money for charity 
– > Marina hates to have the same outfit as another girl’s. That is why she shops at thrift shops.
# girl’s (= girl’s outfit )"
noun,"# a word that refers to a person, ( such as as Ann or doctor ), place ( such as Paris or city )
# or a thing, a quality or an activity ( such as plant, or tennis )
# also we have: abstract noun, common noun, proper noun
# abstract noun:  a noun for example goodness or freedom
# common noun: a work such as table, cat, sea 
# proper noun: a work that is name of a person, a place, an institution, etc. and it is written with a capital letter for example Tom, Mrs Jones, Texas, White House."
,
WEEK 3,"# LESSONS 11,12,13,14,15"
lesson 11,# from 41 to 44
,
diabetes,"# a medical condition which makes the patient a lot of urine and feel very thirty; there are several types of diabetes
– > She picked a movie about a girl with diabetes."
urine,# ( informal wee ) the waste liquid that collects in the bladder and that you pass from your body
rumor,"# [C] a piece of information or a story that people talk about, but they may not be true 
– > to start / spread a rumor
– > Many of stories are based on rumor. 
– > He has heard rumors about him."
competitive,"# used to describe a situation in which people  or organization compete against each other
# 2.  ( with somebody/something ) as good as then other
# 3. ( of person ) trying very hard to be better than other
– > Antonio in mean. He is very competitive. "
Cambodian ,"# ( a person ) form Cambodia 
– > Her friend’s dad made them a Cambodian dish."
,
lesson 12,# from 45 to 48
,
key,"# verb: to put information into a computer using a keyboard | synonym: enter
– > Key ( in ) your password. 
# 2. to deliberately damage a car by scratching it with a key
– > Someone also keyed his car."
SPF,"( the short form of Sun Protection Factor ) a number that tells you how much protection a particular cream or liquid gives you from the harmful effects of the sun.
– > He sunscreen was SPF 50. That means Jane can stay in the sun 50 times longer than she could without it."
fade,"# to become or make something become paler or less bright 
– > The curtains had faded in the sun.
– > The red color has faded."
paler,"# adjective of pale: ( of person, their face, skin, etc ) having skin this is almost white; having skin that is wither then usual because of illness, a strong emotion, etc
– > pale with fear
# opposite dark , deep"
windshield,# the window across the front of a vehicle 
wiper,"# == windshield wiper or windscreen wiper:  a blade with rubber edge that moves across a windshield to make it clear of rain, snow, etc.
– > The windshield wiper scratch the window."
forgive,"# to stop feeling angry with somebody who has done something to harm, annoy or upset you; to stop feeling angry with yourself.
– > I will never forgive her for what she said."
forgiveness,"# the act of forgive somebody; willingness to forgive somebody
– > to pray for God’s forgiveness"
iguana,"# a large tropical American lizard 
– > There were iguanas. They look funny."
,
lesson 13,# from 49 to 52
,
caramel,"# a type of hard sticky sweet / candy made from butter, sugar and milk
– > She really likes chocolate with caramel."
minty,"# testing or smelling of mint
– > a minty flavor / smell 
– > Afterwards, he use minty mouthwash. "
mint,"# noun:  plant whit dark green leaves that has a fresh smell, and taste and are added to food or drinks to give flavor"
afterwards,"# at a later time; after an event that has already mentioned 
– > Afterwards she was sorry for what she has said.
– > Afterwards, he uses minty mouthwash."
process,"# a series of things that are done in order to achieve a particular result
– > He does this process after he eats."
realistic,"# accepting in sensible way what it is actually possible to do or achieve in a particular situation 
– > a realistic assessment 
– > You should be more realistic."
done,"# adjective: finished, completed 
– > When you are done, perhaps I can say something."
owe,"# to have to pay somebody for something that you have already received or returned money that you have borrowed
– > She still owns her father $3000.
– > She did not want to owe them anything. "
modest,"# adjective: 1. not very large, expensive, important, etc
– > modest improvements / reforms 
# 2. ( approving ) not talking much about your own abilities or possessions != immodest or demure 
– > She is very modest about her success."
bracelet,"# a piece of jewelery worn around the wrist or arm
– > Donna’s mom gave her a diamond bracelet."
,
lesson 14,# from 53 to 56
,
lace,"# to be fastened with lace; to fasten something with laces
– > She was wearing a dress that laced up at the side.
– > She got her equipment. All laced up and ready to go, she got on the horse."
