English Level,"# five was started on February 18th , Saturday"
,
WEEK 01,"# LESSON 1,2,3,4,5"
lesson 1,# from 1 to 2
,
chandelier,"# a large round frame with branches that hold lights or candles. chandelier are decorated with many small pieces of glass and hang from the ceiling
– > a crystal chandelier 
– > Todd’s house is beautiful. There is a chandelier."
come off,"# to happen ( informal )
– > Alvin does not know what to say. He does not want to come off as rude."
admissions,"# the act of accept somebody into an organization, institution, etc. the right to enter a place, or join an institution or organization
– > Collage Admissions "
extracurricular ,"# not part of the usual course of work or studies at a school or collage 
– > She is involving in many extracurricular activities.
– > You need to do something extracurricular.
– > Extracurricular are activities you do outside of class such as playing basketball, playing the violin, singing and more."
SAT,"# ( in the US ) the abbreviation for “Scholastic Aptitude Test” ( a test taken by high school students how want to go to collage or university )
– > to take the SAT
– > You need to have high score on the SAT or ACT."
ACT,"# American Collage Test, an exam the some high school students takes before the go to collage"
leadership,"# the state or position of being leader
– > You need to have some leadership positions."
vice president,"# abbreviation: VP. the person below the president of a country in rank, who takes control of the country if the president is not able to
– > You need to be the president or vice president."
award,"# a prize such as monry, etc. for something that somebody has done
– > to win / receive / get an award for something 
– > It also helps if you won some awards. It shows that you can achieve something."
,
lesson 2,# from 3 to 4
,
careless,"# opposite careful. not giving enough attention and thought to what you are doing so that you make mistake
– > careless driving 
# word family: 
# noun: care , carer
# adjective: careful != careless and caring != uncaring 
# verb: care
# adverb: carefully != carelessly 
# and also carelessness is a noun 
– > You carelessness took away my mom."
productive,"# 1. making goods crops, in a large quantities 
# 2. doing or achieving a lot
# 3. (formal) resulting in something or causing something 
– > It was time for her to do something productive."
encourage,"# to give somebody support, courage or brave
– > Abby visited collages, clubs, and bars all across the country to encourage people not to drive when drinking."
courage,"# the ability to do something dangerous or to face pain or opposition without showing fear | synonym: bravery 
– moral / physical courage "
,
lesson 3,# from 5 to 6
,
cheer,"# to shout loudly; to show your support or praise for somebody, or to give them encouragement != boo
– > Kelly has been cheering since she was in elementary school."
law firm,"# law, noun: ( subject / profession ) the study of the law as a subject at university, etc. the profession of being a lawyer 
– > a lawyer firm 
– > Her parents wanted her to so something more normal, like becoming a nurse, or working at a law firm."
"firm , n","# a business or company 
– >  an engineering firm"
seem,"# linking verb, not used in the progressive tenses. to give the impression of being or doing something | synonym: appear 
– > You seem happy.
– > Kimberly seems like a normal teenage girl."
identity,"# noun, AW. abbreviation: ID. who somebody / something is
– > The police are trying to discover the identity of the killer.
– > To hide her identity, she wears a mark and green colored contacts."
contacts,"# == contacts lens 
# a small round piece of thin plastic that you put on your eye to help you see better
– > to wear contact lenses"
sidekick,"# (informal) a person who helps another more important or more intelligent people
– > Batman and his younger sidekick Robin
– > Sherlock Holmes and his trusted sidekick Dr. Watson.
– > Kimberly also has a sidekick who is her best friend."
come close,"# come close ( to something / to do something )
# to almost reach or do something 
– > He would come close to death.
– > We did not win, but we came close.
– > She came close to telling them one time after they destroyed her science project."
,
lesson 4,# from 7 to 8
,
unsure,"# not certain of something; having doubts 
– > I was unsure how to reply this question.
– > She left the interview feeling unsure."
invasion,"# ( it comes from the word invade )
# the act of an army entering another country by force in order to take control of it
– > Phone Invasion
– > the German invasion of Poland in 1939"
way,"# adverb: 1. very far; by a large of amount
– > She finished the race way ahead of the most runners. 
# 2. used with an adjective ( N-AmE ) very
– > I am way glad to head that.
– > A lot of news reports are saying that people are looking at their phones way too much."
,
lesson 5,# from 9 to 10
,
abroad,"# in or to foreign country 
– > to be / go / travel / live abroad 
– > The terrorist attacks have scared a lot of people from studying abroad."
explosive,"# a substance that is able or likely to cause an explosion 
– > plastic explosive 
– > The bomb was packed with several of high explosive.
– > Terrorists often bring explosives on planes."
tragic,"# making you feel very sad, usually because somebody has died or suffered a lot
– > Not too long later, all the passenger in Malaysia Airlines Flight 17 died. It was a tragic event."
internship ,"# North American, a job that an advanced student of medical, whose training is nearly finished doing in a hospital to get further practical experience
– > Brenda has to make an important decision. She got accepted to an internship. "
the pros and cons,"# idiom. the advantage and disadvantage of something
– > We weighted up the pros and cons.
– > She made a list of pros and cons. Pros are good things while cons are bad things."
accommodation,"# Br: a place to live or work or stay in
– > rental / temporary / furnished accommodation 
# Am: somewhere to live or stay
– > Her plane tickets and living accommodation would be paid for."
,
lesson 6,# from 11 to 12
,
procrastinate ,"# (formal and disapproving) to delay to do something that you should do, usually because you do not want to do it
# noun: procrastination 
– > Procrastination is putting things off to a later time."
put off,"# to change something to a later time or date | synonym: postpone, delay 
– > We have had to put off our wedding until September. "
pastor,"# a minister in charge of a Christin church or group, especially in some Nonconformist churches 
– > His dad was a pastor, and his mom was a choir leader."
choir,"# a group of people who sing together for example in church services or public performances 
– > She signs in the school choir. 
# 2. the part of a church where the choir sits during services"
particularly,"# == especially 
– > He did not particularly love or hate Christianity. "
useless,"# not useful
– > His parents tried to convince him that Christianity was better. It was useless. Chris made his decision. "
religion,"# noun: the belief in the existence of a god or gods, and the activities that are connected with the worship of them
– > Is there always conflict between science and religion?"
religious,"# adjective: connected with religion or with a particular religion
– > religious beliefs / faith
– > religious education 
– > His parents were very religious and wanted Chris to follow in their footsteps."
,
lesson 7,# from 13 to 14
,
show off,"# try to impress others 
– > He always wore tight shirts that showed off his muscles."
whom,"# ( formal ) used instead of ‘who’ as the object of a verb or a preposition 
– > Whom did they invited?
– > To whom should I write?
– > His English teacher was talking about Shakespeare, whom Dean’s brother admired. "
