English for ,Intermediate Learners 2,
Monday,"2017, May 1st",
,,
week ,# first,
lesson,# 1,
resident,"# AW and noun: a person who lives in a particular place or who has their home there
– > a resident of the United States
– > Sara smith, a Pasadena resident, wen shopping.",
tax,"# here is noun: money that you have to pay to the government so that it can pay for public services
– > Barget ( = a place, store ) was having a holiday sale. Sara bought a four-slice toaster for $29,95 plus tax.",
nutrition ,"# the process by which living things receive the food necessary for them to grow and be healthy 
– > advice on diet and nutrition",
nutritious,"# ( of food ) very good for you; containing many of the substance which help the body to grow
– > tasty and nutritious meals
– > She woke them up and then made a hot and nutritious breakfast for everyone.",
,,
lesson ,# 2,
,,
convertible,"# AW. a car with a roof that can be folded down or taken off
– > A 79-years-old man was slightly injured on Saturday while waiting in his brand new convertible in a drive-through lane at Burger Prince restaurant.",
lane,"# a narrow road in the country 
# 3. a section of a wide road",
mild,"# ( of weather ) not very hot
# not severe or strong
– > Herman Sherman of Northville suffered a mild burn about 9 p.m when a young female employee accidentally spilled a cup of coffee into his lap.",
severe,"# { very bad } extremely bad or serious 
– > His injures are severe.",
lap,"# the top part of you legs that forms a flat surface when you are sitting down
– > There is only one seat so you will have to sit on my lap.",
refill,"# to fill something again
– > He was given a fresh refill.",
certificate ,"# 1. an official document that may be used to prove that the facts it states are true
– > The restaurant manager, John Jonson, gave him to free gift certificates – one for an extra-large coffee and one for the restaurant’s newest sandwich, the McRop. ",
,,
lesson,# 3,
,,
consecutive,"# following one after another in a series without interrupting 
– > She absent for nine consecutive days.
– > Six consecutive days of sprint rain had created a raging river running by Nancy Brown’s farm.",
"rage n,v","# noun: a feeling of violent anger that is difficult to control
– > His face was dark with rage.",
raging,"# ( of feeling or emotion ) very strong
# ( of natural forces ) very powerful
– > raging river",
"herd n,v","# verb: to make animals move together
– > As she tired to herd her cows to higher ground, she slipped and hit her head on a fallen tree trunk.",
acre,"# a unit for measuring an area of land; 4,840 square yard or about 4050 square meters
– > About 20 minutes later, Lizzie managed to successfully pull herself and Nancy out of the raging water and onto a bit of high land, a small island now in the middle of acres of white water.",
waist,"# 1. the area around the middle of the body between the ribs and the hips, often narrower then the area above and below 
– > The water was not waist high. Nancy’s pace got slower and slower.",
pace,"# 3. an act of stepping one who walking or running | synonym: step
– > Please took to paces forward. ",
hoist,"# a piece of equipment used for lifting heavy thing, or for lifting people who cannot stand or walk
– > A helicopter lowered a paramedic, who attached Nancy to life-support hoist. ",
lower,"# verb: to let to make something/somebody go down
– > He had to lower his head to get through the door. | opposite: raise",
flood,"# a large amount of water covering an area that is usually dry
– > When the flood subsided two days later, Nancy immediately went back to the island.
– > The heavy rain caused floods in many parts of the country.",
subside,"# to become calmer or quieter 
# ( of water ) to go back to a normal level",
,,
week ,# second,
lesson ,# four( 4 ),
,,
alert,"# aware of something 
– > We must be alert to the possibility of danger.
– > The boy was conscious and alert.",
deny,"# to say that something is not true
– > The man denied drinking – but he field the police test for sobriety.",
sober,"# not drank ( = not affected by alcohol )
– > I promised him that I would not stay sober tonight.",
outstretched,"# ( of parts of the body ) stretched or spread out as far as possible 
– > When he was asked to touch his nose with his arms outstretched and eyes closed, he was unable to touch any part of his hand.",
handcuff,"# verb: to put handcuff on somebody or to fasten somebody to something/ somebody with handcuffs
– > Her hands were handcuffed behind her back.
# noun: a pair of metal rings joined by a chain used for holding the wrists of a prisoner together
– > The handcuffed man asked the police if they knew were the “Mable” was as he was put into the back of the police vehicle. ",
intoxicated,"# ( formal ) under the influence of a alcohol
# 2. very excited by something, so they you cannot think clearly
– > The was taken to the city jail and booked on suspicion of driving while intoxicated and on causing an accident. ",
apparent ,"# adjective and AW. easy to see or understand | synonym: obvious 
# apparently == obviously 
– > The diver of the truck was a 50-years-old man who was unemployed and apparently had been drinking.",
,,
lesson ,# 5. Jerry Decided To Buy a Gun,
,,
gangster,"# a member of a group of violent criminals 
– > Jerry loved gangsters movies. ",
plot,"# v,n. noun: the series of evens that form the story of a novel, play, movie, etc
– > The book is well organized in terms of plot.
– > He could tell you the name of the movie, the director, the stars, and the plot.",
rattle,"# ( informal ) to make a series of loud short loud sounds when hitting against something hard
– > Every time a bus went past, the windows rattled. 
– > He shook me so hard that my teeth rattled.
# rattle something off: to say something form memory without having to think too hard
– > She rattle off the names of all presidents of the U.S.
– > Did you say you liked “Plup Fictions?” Well Jerry would rattled off all the details of that movies.",
ammunition,"# to supply of bullets, etc to be fired from guns
– > While there, he also bought a couple of boxes of ammunition.",
knee,"# the joint between the top and the bottom parts of the leg where it bends in the middle
– > a knee injury 
– > The gun went off, and the bullet went into Jerry’s right knee.",
limp,"# a way of walking in which one leg is used less than normal because it is injured or stiff 
– > She had twisted her ankle and was limping.
– > Jerry now walks with a limp and cane, just like some gangsters.",
stiff,"# 1. firm and difficult to bend or move
– > a stiff brush
# 2. { muscles } when a person is stiff, their muscles hurt when they move them
– > I am really stiff after that bike ride yesterday. ",
cane,"# a long thin stick, used to help someone to walk",
,,
lesson ,# 6. Freeway Chase Ends at Newsstand,
,,
lead,"# to go with or in front  of a person or animal to show the way
– > A 24-year-old Los Angeles man was taken to a hospital and then to country jail after leading police on a one-hour freeway chase in a stolen SUV.",
county,# typical of English appear-class people,
uneventful,"# in which nothing interesting, unusual, or exciting happens 
– > an uneventful life
– > Most of the chase was uneventful, except for an empty bottle of whiskey that the driver threw at one police vehicle. 
# opposite: eventful 
# full of things that happen, especially exiting, interesting, or dangerous things
– > an eventful day / life / trip
",
fire hydrant,"# or hydrant: a pipe in the street through which water can be sent using a pump in other to puts on fires or to clean the street
– > He ran over a fire hydrant. The water spewed out of the hydrant.",
spew,"# to flow out quickly
– > Flames spewed from the aircraft’s engine. 
# informal: to vomit ",
geyser ,"# a natural spring that sometimes sends hot water or steam up into the air
– > The water spewed out of the hydrant, causing a geyser that ruined all the books in several carts that a vendor had put outside to attract customers into his bookstores. ",
vendor,"# 1. a person who sells things for example food, newspaper, etc outside on the street
– > street vendor",
bang,"# to his something in a way that makes a loud noise | synonym: slam
– > The driver hurriedly turned west onto Grand Avenue and managed to bang into three parked cars on one side of the street and two cars on the other side.",
halt,"# to stop; to make someone/something stop
– She walked toward him and then halted. 
– > The driver also tried to run over a police officer, who was standing in the crosswalk ordering him to halt.",
brake,"# a device for slowing or stopping a vehicle 
– to put / slam on the brake
– > the brake pedal
– > She stopped with a  squeal / screech of the brakes. 
– > Turning north, the driver caused a bus to slam on its brakes to avoid collision.",
collision,"# an accident in which two vehicles or people crash into each other
– > a collision between two trains ",
pursue,"# to do or try to achieve something over a period of time
– > to pursue a goal / an aim / an objective 
– > We intend to pursue this policy with determination.",
resume,"# if you resume an activity, or if resumes, it begins again or continues after an interruption 
– > to resume talks / negotiations
– > Both officers resumed the chase.",
plow,"# noun: a large piece of farming equipment with one or several curved blades, pulled by a tractor or by animal
# verb: to use a snowplow to clean snow from rodes
# 2. to dig and turn over a filed or other area of land with plow
# plow into something / someone: ( of vehicle or its driver ) to crash violently into something, especially because you are driving too fast or not paying enough attention
– > They only went two block north to find that the SUV had come to a full stop because it had plowed into a newspaper stand.",
slump ,"# to fall in piece, value, number, etc suddenly and by a large amount | synonym: drop
– > Sales have slumped this year.
# 2. to sit or fall down heavily 
– > The old man slumped down in his chair. 
– > The driver who was not wearing a seatbelt, was slumped behind the steering wheel.",
proprietor,"# the owner of a business, a hotel, etc
– > The proprietor of the newsstand was yelling at the driver and shaking a magazine at him.",
yield,"# to stop resisting something/somebody; to agree to something that you do not want to do | synonym: give away
– > The police called for the ambulance. The charged the driver with failure to yield a police officer and drving under the influence. ",
,,
lesson,# 7. Better to Be Unlucky,
,,
tuner,"# a person who tunes musical instrument, especially pianos 
– > Sam, a unemployed piano tuner, said it was only the second thing he had ever won in his life.",
Afghan,"# a person from Afghanistan 
– > The first thing was an Afghan blanket at a church raffle when he was 25 years old.",
raffle,"# v, n: a way of making money for a particular project or organization. People buy tickets with numbers on them and some of those numbers are later chosen to win prizes 
– > raffle prizes / tickets
# compare to “lottery”",
spin,"# ( nn ) { turn around quickly }: to turn around and around quickly; to make something do this
– > … a contestant must guess which number a spinning cube will stop on.",
dreamy ,"# looking as though you are thinking about other things and not paying attention to what is happening around you
# also as adverb: dreamily 
– > She had a dreamy look in her eyes.
– > He gazed dreamily out of the window. 
– > Sam dreamily left the lottery studio. Talking excitedly on his cell phone while crossing the street, he got hit by a little sports car.",
,,
lesson ,# 8. Food Fight Erupted in Prison,
,,
inmate,"# one of the people living in an institution such as prison or a metal hospital 
– > The jail has 500 inmates.
– > Inmates released two correctional officers they had held for a week in the tower at the state prison complex. ",
correctional ,"# connected with improving the behavior of criminals, usually by punishing them
– > a correctional center",
quell,"# formal: to stop something such as violent behavior or protests 
– > The inmates captured the officers a week ago after the two officers tried to quell a food fight in the main dining room.",
erupt,"# when a volcano erupts or burning rocks, smoke, etc erupt or are erupted, the burning rocks, etc are thrown out from the volcano
– > The food fight erupted when the prisoners discovered that their candy ration had been cut in half.",
ration,"# a fixed amount of food, fuel, water, etc that you are officially allowed to have when there is not enough for everyone to have as much as they want
– > a weekly butter ration ",
barter,"# to exchange goods, property, services, etc for other goods, without using money
– > The candy is a popular bartering item. Inmates trade it for cigarettes, cigars, magazines, stationery, legal dictionary and other items.",
stationery,"# 1 materials for writing and for using in an office, for example paper, pens, and envelopes",
luxury,"# the enjoyment of special or expensive things
– >  a luxury hotel
– > Prison officials said it was necessary to cut back on this luxury items in order to provide basic items like soap, razors, and toilet papre.",
razor,# an instrument that is used for shaving.,
berserk,"# ( informal ) very angry in a violent or uncontrolled way
– > The prisoners went berserk over the reduction.",
reduction,# ( reduct ) an act of making something less or smaller,
sliverware,"# objects that are made of or covered with sliver
– > The threw food, plates, sliverware at the doors, windows and guards. ",
haul,"# to pull something /somebody with a lot of effort 
– The wagons were hauled by horsed.
– > Then they grabbed two guards and hauled them up to the tower.",
spare,"# 2 { save someone pain / trouble }: to save someone / yourself form having to go through an unpleasant experience 
– > He wanted to spare his mother any anxiety.
– > They sent massages to prison officials demanding big bags of candy in exchange for sparing the guard’s lives. ",
warden,# ( N-Am ) the person in charge of a prison,
comply,"# to obey a rude, an other, etc
– > They refused to comply with the U.N resolution.
– > The warden complied with their demands.",
demand n,"# a very firm request for something, something that someone needs
– a demand for higher pay",
allot,"# verb: ( tt ) to give time, money, tasks, etc to someone or something as a share of what is available 
– > I completed the test within the time allotted.
– > How much money has been allotted to us?
– > How much money have we been allotted?",
